"";"";"";"";"longtemps";""
"1";"longtemps";"0.687840137037309";"0.0472562918229044";"0.832250671385529";"144"
"2";"assez";"0.522006294523536";"-0.0774422757203701";"0.823564170424737";"172"
"3";"quelque";"0.0324972051398059";"-0.263657276182777";"0.815778047154845";"204"
"4";"toute";"-0.043513865516614";"-0.177490414418266";"0.81492911961771";"209"
"5";"cette";"-0.274999899054716";"-0.130135853420154";"0.814731894028274";"210"
"6";"lequel";"-0.317983320136708";"-0.219744402637533";"0.814011591875553";"211"
"7";"avant";"0.0204020598051486";"-0.3920067213544";"0.814003016849925";"212"
"8";"pourquoi";"0.44363380185483";"0.0432994764304452";"0.813925841619277";"213"
"9";"vos";"-0.264459744891129";"0.0300485954266292";"0.813274139671577";"218"
"10";"jusqu_à";"-0.055132723451899";"0.434151358846941";"0.810315755830043";"231"
"11";"alors";"-0.135002117346355";"0.16959413889391";"0.810315755830043";"232"
"12";"non";"-0.0452476612319914";"0.155614205223717";"0.810169980394373";"233"
"13";"vers";"-0.177132163262563";"-0.102522929358617";"0.809869854497406";"234"
"14";"celle";"-0.249864811062376";"-0.301603926487672";"0.809646903831088";"238"
"15";"d_abord";"0.524459649700509";"-0.329049759473975";"0.809621178754205";"239"
"16";"puisqu";"0.478286964582027";"-0.206601291239318";"0.809072377114036";"243"
"17";"quel";"-0.194247542364659";"-0.24094350195877";"0.808866576498973";"244"
"18";"toujours";"0.207711418658999";"-0.0311599761990004";"0.808566450602006";"245"
"19";"sans";"-0.193122405757829";"-0.216883905278417";"0.808506425422612";"246"
"20";"elle_même";"0.0382216548948307";"-0.370882323094263";"0.808309199833177";"247"
"21";"plupart";"0.371078893740267";"-0.246227998511969";"0.807914748654306";"248"
"22";"quelle";"0.0501294932870968";"-0.0405270870033302";"0.80786329850054";"249"
"23";"pendant";"0.327476432138878";"-0.182451832580689";"0.806937195732755";"251"
"24";"rien";"0.0800338448596222";"-0.331577264150041";"0.806757120194575";"252"
"25";"aujourd_hui";"-0.361687693561161";"-0.457374211328378";"0.806714245066437";"253"
"26";"au";"-0.0777376363397359";"0.000650521235226486";"0.806671369938299";"254"
"27";"encore";"0.174046907370026";"-0.267864833827796";"0.806405544143842";"257"
"28";"autre";"0.132801844265131";"-0.222923828329018";"0.805925342708695";"258"
"29";"autant";"-0.264022498069954";"0.102592497358318";"0.805462291324803";"259"
"30";"quelles";"-0.145026989259514";"-0.327866564858606";"0.805205040555974";"260"
"31";"croire";"0.222165236886709";"-0.198091898848114";"0.804922064710262";"261"
"32";"celui";"-0.338834773869489";"-0.140856226465752";"0.804853464505241";"262"
"33";"soixante";"0.52210510240605";"-0.295649630042858";"0.804038837070615";"264"
"34";"quatre_vingts";"0.434468826758004";"-0.117552952435779";"0.804038837070615";"269"
"35";"combien";"0.301658886686868";"0.0536300363484517";"0.80162925486925";"270"
